Timestamp,Voltage (V),Current (I),Power (W),Power_Factor,Temperature (°C),Humidity (%)
01-12-2024 00:00,222.4835708,4.642510347,965.0239427,0.88062604,21.73485538,45.49483449
01-12-2024 00:01,219.3086785,4.206038389,894.1581594,0.939144463,,46.47750827
01-12-2024 00:02,223.2384427,4.143615091,,0.864156013,17.95261465,64.19531614
01-12-2024 00:03,227.6151493,4.188551956,1006.917263,0.926710857,19.61309836,37.21486827
01-12-2024 00:04,,5.165738722,1081.262142,0.931754176,21.78324376,55.7416602
01-12-2024 00:05,218.8293152,4.103324352,909.4106747,0.880273222,17.83951795,37.6954809
01-12-2024 00:06,227.8960641,4.67385375,,,22.28787728,67.94680605
01-12-2024 00:07,223.8371736,5.506399404,1230.063221,0.965807005,16.93473948,
01-12-2024 00:08,217.6526281,4.588696333,969.8115001,,19.75783433,58.32855059
01-12-2024 00:09,222.7128002,5.526616154,1176.526158,0.910830868,17.45658168,55.86181562
01-12-2024 00:10,217.6829115,5.490934076,1237.060758,0.98058263,15.09434027,42.14554096
01-12-2024 00:11,217.6713512,4.491654265,1032.170768,0.92057525,21.07844456,66.04791042
01-12-2024 00:12,221.2098114,5.45764436,1297.579005,0.95151872,20.02131729,55.08994675
01-12-2024 00:13,210.4335988,5.495553277,1076.730387,0.965761246,17.61413646,50.41272078
01-12-2024 00:14,211.3754108,4.794907851,1078.970086,0.878528412,19.40649741,51.13442774
01-12-2024 00:15,217.1885624,4.420840967,913.0701976,0.880550413,21.35476204,65.62762097
01-12-2024 00:16,214.9358444,5.042541614,1068.072042,0.956202804,19.76619405,32.36477891
01-12-2024 00:17,221.5712367,5.842795176,1398.536779,0.955462943,20.136508,45.56248368
01-12-2024 00:18,215.4598796,5.279233465,,0.858425665,19.76832867,63.66510111
01-12-2024 00:19,212.9384815,4.345844995,869.3302963,0.895149754,19.43200354,31.50060988
01-12-2024 00:20,227.3282438,5.365513849,1136.758966,0.905794549,19.43729336,55.56724877
01-12-2024 00:21,218.8711185,4.854406055,1056.748391,0.966065656,19.40992708,46.13056733
01-12-2024 00:22,220.337641,5.183057595,1202.018257,0.909060716,19.18438346,38.18333882
01-12-2024 00:23,212.8762591,5.46812807,1279.787451,0.979630045,18.6874206,54.45619469
01-12-2024 00:24,217.2780864,5.029894703,1155.706863,0.989525089,19.99391861,63.24244012
01-12-2024 00:25,220.5546129,5.627967949,1334.869343,0.959301663,19.50481356,48.69358217
01-12-2024 00:26,214.2450321,,1224.231776,0.943294137,18.67259027,35.86949558
01-12-2024 00:27,221.8784901,5.23014668,1252.234138,0.904865603,22.37932706,42.24604879
01-12-2024 00:28,216.9968066,4.301585632,854.3302524,0.859385522,23.34387154,69.25413
01-12-2024 00:29,218.5415313,5.671898222,1346.129263,0.930239426,20.90968723,34.44367547
01-12-2024 00:30,216.9914669,5.871811171,1247.734454,0.900638687,21.07412295,36.42860081
01-12-2024 00:31,229.2613909,4.273930248,1062.470696,0.899125731,19.58732395,69.60711392
01-12-2024 00:32,219.9325139,4.976482259,1001.618999,0.946279295,23.1377799,65.28405695
01-12-2024 00:33,214.7114454,4.517777484,1011.776465,0.91490951,24.51133481,58.28514979
01-12-2024 00:34,224.1127246,5.509046615,1292.845949,0.955293138,20.7386301,36.03933014
01-12-2024 00:35,213.8957818,5.443259272,1279.999893,0.905744251,20.05455936,39.62196599
01-12-2024 00:36,221.044318,4.281770241,997.3531874,0.871120874,21.81162677,37.20728816
01-12-2024 00:37,210.2016494,5.754054543,1181.106059,0.914588654,21.417751,55.2381942
01-12-2024 00:38,213.3590698,4.361946128,,0.983141752,20.19077919,45.95475551
01-12-2024 00:39,220.9843062,5.594518051,1203.304057,0.962213448,,31.91116545
01-12-2024 00:40,223.6923329,4.913960719,1032.387144,,23.12977224,41.65169211
01-12-2024 00:41,220.8568414,4.656544587,976.7001927,0.90478207,19.71298525,64.42612904
01-12-2024 00:42,219.4217586,4.316478525,894.4709148,0.979890893,26.39984236,61.84169334
01-12-2024 00:43,,4.335228512,956.4713117,0.867317868,18.28102945,55.72047216
01-12-2024 00:44,212.60739,5.323781109,1223.819837,,19.67465838,33.42174057
01-12-2024 00:45,216.400779,5.100860776,1194.946272,0.88671117,21.87708836,65.31163277
01-12-2024 00:46,217.6968061,4.244170843,841.6679092,0.929930603,25.93399708,51.38071235
01-12-2024 00:47,225.2856111,,871.9403528,0.907502665,20.3461538,49.7830404
01-12-2024 00:48,221.7180914,4.14462115,872.0935602,0.861181894,19.37091237,67.36254308
01-12-2024 00:49,211.1847992,5.487534695,1102.112381,0.938085404,22.63194293,30.35376108
01-12-2024 00:50,221.6204198,5.42376417,1104.626882,0.863870901,21.067311,52.23588827
01-12-2024 00:51,218.0745886,4.116861982,877.7558401,0.93489809,22.9260356,
01-12-2024 00:52,216.61539,5.120540151,1128.648589,0.920981173,21.48497176,32.54761899
01-12-2024 00:53,223.0583814,4.16935231,944.5472877,0.919113613,19.94319236,44.2868827
01-12-2024 00:54,225.1549976,5.807491541,1318.943351,0.859449474,26.38625362,69.09940738
01-12-2024 00:55,224.6564006,5.814234838,1264.059561,0.939490863,15.81068004,38.47144207
01-12-2024 00:56,215.8039124,5.39646598,1212.665241,0.910384836,25.39088132,
01-12-2024 00:57,218.4539381,5.852377843,1361.955298,0.907554857,23.64785294,59.84276104
01-12-2024 00:58,221.6563172,5.622906061,1208.033354,0.933503195,20.32105827,45.6149541
01-12-2024 00:59,224.8777256,5.657077152,1166.698352,0.934874728,,46.31492987
01-12-2024 01:00,,5.139415701,1072.802935,0.852104661,19.13115992,32.53073408
01-12-2024 01:01,219.0717051,4.612118396,937.1052129,0.867531626,23.92107338,37.60373394
01-12-2024 01:02,214.4683251,4.43559823,945.0850254,0.883112551,17.77039557,
01-12-2024 01:03,214.0189669,4.654400044,927.583233,0.944916827,19.67474464,62.73270562
01-12-2024 01:04,224.0626291,5.25699086,1169.142197,0.930743758,19.70057318,42.18554089
01-12-2024 01:05,226.7812001,4.345313072,930.4485929,0.956068079,20.52675961,45.26845196
01-12-2024 01:06,219.6399494,4.517280473,1039.547874,0.953685093,22.08199124,47.61641694
01-12-2024 01:07,225.0176645,4.936121726,1005.767214,0.969445602,20.43761204,43.83774513
01-12-2024 01:08,221.8081801,4.466100197,1001.464087,0.902754081,18.04745799,56.15646817
01-12-2024 01:09,216.7744012,5.177287339,1048.116479,0.898308941,23.07787563,30.51313723
01-12-2024 01:10,221.806978,5.846352057,1167.342756,0.966342156,22.2795489,65.20672224
01-12-2024 01:11,227.6901828,5.496178731,1343.831254,0.883264215,,42.02596374
01-12-2024 01:12,219.8208698,5.332853228,1212.487895,0.914564132,22.58676388,64.89493847
01-12-2024 01:13,227.8232183,5.165442952,,0.877205591,24.18200607,48.1754327
01-12-2024 01:14,206.9012745,,1063.302317,0.977937704,22.15315581,61.05323967
01-12-2024 01:15,224.1095125,4.373127719,1001.943728,0.907092422,24.35972404,63.03119356
01-12-2024 01:16,220.4352353,5.789420911,1269.391962,0.879748166,20.81382868,42.05155295
01-12-2024 01:17,218.5049632,4.497072004,966.7646288,0.946881875,20.95839708,55.61299236
01-12-2024 01:18,220.4588039,4.182617755,993.4779188,0.884250255,25.17830885,54.29655904
01-12-2024 01:19,210.0621554,5.500030358,1096.459675,0.982090504,25.16803563,49.04056408
01-12-2024 01:20,218.9016406,4.351231069,933.1198557,0.901466382,23.63462661,48.78274708
01-12-2024 01:21,221.7855629,,1016.146887,0.9430497,20.73934596,42.20813081
01-12-2024 01:22,227.3894702,4.056569857,972.4535902,0.89833429,20.60869152,42.40762046
01-12-2024 01:23,217.4086489,4.274135885,1006.632861,0.963014382,25.23445377,51.92606433
01-12-2024 01:24,,4.346407262,1004.303161,0.975569184,25.1539997,31.29082472
01-12-2024 01:25,217.4912148,4.108820256,946.8398788,0.96030857,22.51182938,67.34657528
01-12-2024 01:26,224.5770106,5.313313913,1309.420396,0.968789863,27.35305015,55.99917292
01-12-2024 01:27,221.6437555,5.674015592,1307.196321,0.864263316,23.61734629,47.73774159
01-12-2024 01:28,217.351199,4.746630813,1083.487629,0.979369055,20.51538659,32.47224009
01-12-2024 01:29,222.5663372,,1403.123642,0.937402102,22.2087354,
01-12-2024 01:30,220.4853877,4.426693149,879.7836708,0.971690455,22.80112376,30.70970651
01-12-2024 01:31,224.843225,,1073.73135,,22.99313734,57.1946878
01-12-2024 01:32,216.4897345,4.301473986,975.7322125,0.878258674,25.35047613,32.9009779
01-12-2024 01:33,218.3616893,5.241118391,1240.096691,0.935337714,20.96799335,
01-12-2024 01:34,218.0394592,4.839739182,1136.26477,0.862732474,20.24761962,46.23551065
01-12-2024 01:35,212.6824253,5.226566694,1187.623502,0.947401224,24.1453359,56.50513979
01-12-2024 01:36,221.4806014,5.523349811,1332.383453,0.90726016,21.95673481,35.53989302
01-12-2024 01:37,221.3052764,5.091406032,1135.178457,0.871242644,27.84770203,34.69531637
01-12-2024 01:38,220.0255673,5.25526071,1042.262877,0.987092174,24.91708689,39.89696164
01-12-2024 01:39,218.8270643,5.870500629,1159.002127,0.976151819,22.00977964,46.46045273
01-12-2024 01:40,212.9231463,4.598128619,987.7887684,0.97509612,25.51617623,40.12123808
01-12-2024 01:41,217.8967734,4.718327877,1014.798989,0.960434843,24.58115605,33.28061538
01-12-2024 01:42,218.2864274,5.435406723,1174.906205,0.946877358,24.41756365,43.00112393
01-12-2024 01:43,215.9886137,5.222611034,1105.555337,0.941711127,22.93548529,
01-12-2024 01:44,219.1935714,4.357065809,1034.829855,0.864853137,24.05064727,53.32344417
01-12-2024 01:45,222.0202543,4.75229462,1025.387628,0.976079273,19.03357049,68.5329822
01-12-2024 01:46,229.4309295,4.935676026,1213.074784,0.973357975,25.90337385,47.43686644
01-12-2024 01:47,220.8728891,4.838779676,1154.868019,0.954699368,16.42674674,43.31209421
01-12-2024 01:48,221.287752,4.356549617,963.9550071,0.979824094,22.44426924,
01-12-2024 01:49,219.6277704,5.848860184,1270.939738,0.927431683,20.16670537,46.47835158
01-12-2024 01:50,210.4061439,5.524637523,1223.100671,0.912669927,22.3860021,54.73237075
01-12-2024 01:51,219.8674306,4.962711664,1136.523813,0.985512636,23.26901429,67.85149122
01-12-2024 01:52,220.301151,5.360122057,1140.346504,0.914978366,21.0531725,49.96756914
01-12-2024 01:53,232.3162106,5.794565344,1239.163789,0.939785422,17.92728178,49.92700024
01-12-2024 01:54,219.0381952,4.272348285,891.7968819,0.902228701,23.9198101,61.00666094
01-12-2024 01:55,221.5077367,4.500746101,923.3808501,0.939085672,27.70796599,
01-12-2024 01:56,219.8264412,5.085402495,1072.011931,0.950813859,22.86189898,50.64925786
01-12-2024 01:57,214.1566098,5.598020743,1141.744951,0.937451774,,32.58881396
01-12-2024 01:58,225.7141141,4.072509791,944.5404395,0.922038812,26.6318689,69.23147975
01-12-2024 01:59,223.7596652,5.9680363,1456.793131,0.892015512,19.85228983,45.09281684
01-12-2024 02:00,,4.909813206,1140.425945,0.940138395,22.76704577,42.66825666
01-12-2024 02:01,215.4530627,4.718462281,1103.354118,0.977180045,21.15801891,69.26187333
01-12-2024 02:02,227.0139716,4.585448876,1100.115078,0.850967763,22.12739348,
01-12-2024 02:03,212.9907447,4.348713415,,0.868750064,27.17309146,43.20866567
01-12-2024 02:04,222.9342855,5.583147818,1223.282077,0.866768242,24.24551033,42.33236223
01-12-2024 02:05,230.9522781,5.910828329,1317.283988,0.979248742,25.40484437,58.83816571
01-12-2024 02:06,,4.82728951,1109.989472,0.942784676,23.76840698,43.3726361
